NAME_EN,vote
Liechtenstein,IN FAVOR
Lithuania,AGAINST
Luxembourg,IN FAVOR
Madagascar,IN FAVOR
Malawi,IN FAVOR
Malaysia,IN FAVOR
Maldives,IN FAVOR
Mali,IN FAVOR
Malta,IN FAVOR
Marshall Islands,IN FAVOR
Mauritania,IN FAVOR
Mauritius,IN FAVOR
Mexico,IN FAVOR
Federated States of Micronesia,IN FAVOR
Moldova,IN FAVOR
Monaco,IN FAVOR
Mongolia,IN FAVOR
Montenegro,IN FAVOR
Morocco,IN FAVOR
Mozambique,IN FAVOR
Myanmar,IN FAVOR
Namibia,IN FAVOR
Nauru,IN FAVOR
Nepal,IN FAVOR
Netherlands,AGAINST
Caribbean Netherlands,AGAINST
New Zealand,AGAINST
North Island,AGAINST
South Island,AGAINST
Nicaragua,IN FAVOR
Nigeria,IN FAVOR
Niger,IN FAVOR
Norway,IN FAVOR
North Macedonia,IN FAVOR
Oman,IN FAVOR
Pakistan,IN FAVOR
Palau,IN FAVOR
Panama,IN FAVOR
Papua New Guinea,IN FAVOR
Paraguay,IN FAVOR
Peru,IN FAVOR
Philippines,IN FAVOR
Poland,IN FAVOR
Portugal,IN FAVOR
Qatar,IN FAVOR
Romania,AGAINST
Russia,IN FAVOR
Kaliningrad Oblast,IN FAVOR
Rwanda,IN FAVOR
Saint Kitts and Nevis,IN FAVOR
Saint Lucia,IN FAVOR
Saint Vincent and the Grenadines,IN FAVOR
Samoa,IN FAVOR
San Marino,IN FAVOR
Saudi Arabia,IN FAVOR
Senegal,IN FAVOR
Serbia,IN FAVOR
Kosovo,IN FAVOR
Vojvodina,IN FAVOR
Sardinia,IN FAVOR
Sicily,IN FAVOR
Scotland,IN FAVOR
Seychelles,IN FAVOR
Sierra Leone,IN FAVOR
Singapore,IN FAVOR
Slovakia,IN FAVOR
Slovenia,IN FAVOR
Solomon Islands,IN FAVOR
Somalia,IN FAVOR
Puntland,IN FAVOR
Sint Maarten,IN FAVOR
South Africa,IN FAVOR
South Sudan,IN FAVOR
Spain,IN FAVOR
Balearic Islands,IN FAVOR
Sri Lanka,IN FAVOR
Sudan,IN FAVOR
Suriname,IN FAVOR
Sweden,AGAINST
Switzerland,AGAINST
Syria,IN FAVOR
Tajikistan,IN FAVOR
Tanzania,IN FAVOR
Thailand,IN FAVOR
Togo,IN FAVOR
Tonga,IN FAVOR
Tobago,IN FAVOR
Trinidad,IN FAVOR
Tunisia,IN FAVOR
Turkey,IN FAVOR
Turkish Republic of Northern Cyprus,IN FAVOR
Tuvalu,IN FAVOR
Uganda,IN FAVOR
Ukraine,IN FAVOR
Crimea,IN FAVOR
United Arab Emirates,IN FAVOR
United Kingdom,AGAINST
British Virgin Islands,AGAINST
Virgin Islands,AGAINST
Montserrat,AGAINST
England,AGAINST
United States of America,AGAINST
Alaska,AGAINST
Uruguay,IN FAVOR
Uzbekistan,IN FAVOR
Vanuatu,IN FAVOR
Vietnam,IN FAVOR
Wales,IN FAVOR
Yemen,IN FAVOR
Zambia,IN FAVOR
Zimbabwe,IN FAVOR
